tweet_id,text,Violenc,Hate,Vulgar,HateSpeech
1222188705437429762,در جریانید که حق طلاق توی ایران با مرده دیگه؟؟؟,0,0,0,0
1595851746160549889,"▪️تبلیغ علیه نظام
▪️توهین به رهبری
▪️توهین به تیم ملی فوتبال جمهوری اسلامی
▪️توهین به افراد زحمت‌کش مجلس
▪️همکاری با رسانه‌های غربی 
▪️صدای مردم بودن
▪️ارسال کمک به غرب کشور 
اینا جرم‌هایی هستش که به وریا بستن و بازداشتش کردن.
#وریا_غفوری  #مهسا_امینی",0,0,0,0
1456667451744260108,"من نرفتم ۳۴ فاکینگ میلیون تومن پول آیفون بدم که توییت بزنم، فقط بنویسه توییتر فور آیفون.
پِدَسـْــــَــگــ ، یا مدل و رنگ و حجمش رو هم مینویسی اون زیر یا میام آتیشت میزنم.",1,0,1,1
1627825988942929925,"٢١ فوريه ١٩٥٢، دانشجویان داکاي بنگلادش، پيش از استقلال و تحت حاكميت پاکستان، در تظاهرات مسالمت آميزي، با خواسته ي ملی کردن زبان بنگالی در کنار زبان اردو، به خيابان ها آمدند كه با سركوب خشن نظاميان به خاك و خون كشيده شد.

روز جهاني زبان مادري و ياد جانباختگان آن واقعه گرامي باد.",0,0,0,0
1593342469336313856,"دادگاه به این نتیجه رسیده است که این سه نفر در انتقال یک موشک‌انداز روسی مدل «بوک» که در سرنگونی هواپیما به‌کار رفته مشارکت داشته‌اند، هرچند شخصا موشک را شليک نکردند.

https://t.co/36l6mvEiWA",0,0,0,0
1645975215740973057,"خامنه‌ای و فرمان سرکوب زنان
۲۲ فروردین ۱۴۰۲

قضاوت با شما

خامنه‌ای  ـ ۱۵ فروردین ۱۴۰۲:

در مسئله پوشش خب بله مسئله حجاب محدودیت شرعی و قانونی هست،

چون محدودیت دولتی نیست، قانونی است و شرعی است،

کشف حجاب حرام شرعی است، حرام سیاسی است،

هم حرام شرعی است  https://t.co/VPWZCFGeU7",0,0,0,0
1612125263357431808,"۸ سال رژیم بعث و نصف دنیا خودشون رو جر دادن ولی یک سانت از خاک این کشور نصیبشون نشد اونوقت الان دولت دوست و برادر #عراق کل #خلیج_فارس رو با هرچی تنگه داره رسما زد به نام خودش.
کلاه ها بره بالاتر...",0,0,0,0
1606860267329302528,"همزمان با تشدید فشار بر دانشجویان و دانشگاهیان، علی شریفی زارچی، از اساتید دانشگاه شریف از احضار خود به وزارت اطلاعات خبر داد.

https://t.co/JKhQm3BeSN",0,0,0,0
1381915711044513794,"نیویورک‌تایمز سالهاست که آب به آسیاب چپ‌ها ریخته است.اما بلای ماله‌کشان جمهوری اسلامی که به این سازمان‌های خبر‌پراکنی نفوذ کرده‌اند،مصیبتی‌ست که چند سالی ست گریبان مردم ایران را گرفته است.در عجبم از بی‌شرافتی و تباهی و وطن‌فروشی امثال فرناز فصیحی و نگار مرتضوی
#NYTimesPropaganda",0,1,1,1
1233302275684208640,"هجوم ملخ ها از عربستان به شهرهای جنوبی ایران و خطر آسیب مزارع هم در حال حاضر از دیگر چالش هایی است که شیوع کرونا اون را کم رنگ کرده 
#هجوم_ملخ",0,0,0,0
1576881753632874496,"برای بچه های شریف، برای بچه های علم و صنعت، برای زاهدان، برای شروین
به وقت آزادی
برای اینهمه ""برای"" غیر تکراری
#مهسا_امینی
#OpIran
 لایک نکنننن ریت کن
نهصدد و شصتوو پنج",0,0,0,0
1315828889466273793,اینستاشو بعد نمیدونم چند سال باز کرد و باعث شد قیافه ی گهشو ببینم دوباره. بخدا که اگه از نزدیک ببینمش دماغشو جوری براش از جا در میارم که بلکه اینبار یه عمل زیبایی بکنه قیافه‌ش قابل تحمل بشه.  خدا میدونه تو این چند سال چه بلاهایی به سر دخترای مردم آورده.,1,0,1,1
1573546042234228739,"برای تک تک زنهایی که میخواستن از شوهرشون جدا شن و حق طلاق نداشتن!
#مهسا_امینی 
#OpIran",0,0,0,0
1645517878517542912,باز هماهنگ شدین کسی رو بزنین؟ این ده یا یازدهمین توئیت در مورد فردوسی پور هست که امروز خوندم ...چقدر تابلو خط میگیرید بدون اینکه بدونید چرا..... https://t.co/Dr2UMQXJge,0,0,0,0
1519747960686456832,"اقدام صدا و سیما در حذف عادل فردوسی پور، #سروش_صحت و امثالهم، همان واکنش دوست و فامیل به پیشرفت شماست که تشویق میکنند تا جایی، بها میدهند تا جایی و شما را دوست دارند، تا جایی
آن جا، جای قد شماست که نباید بلندتر از خودشان شود که اگر شد، حامیان شما اولین منتقدانتان هستند",0,0,0,0
1292155644083154950,"به شخصه بعد از براندازی ج.ا خواهان محاکمه سفت و سخت خبرنگار های بیشرف حکومتی هستم. چون رسالت خبرنگاری رو زیر سوال بردن و شرم رو خوردن و حیا رو قی کردن.
#بازجو_خبرنگار
#مزدور_حکومت
@as_zabihpour 
علی رضوانی/ کامران نجف زاده/ @hassanshemshadi  @zahrachakhmaghi و غیره",0,1,0,1
1603329847916462082,"لعنت بر حمید فرخ نژاد!!!
چقدر بی غیرت شده ایم که در مقابل توهین علنی به رهبر عزیزمون ساکتیم",0,0,1,1
1582162047537586176,این زنیکه نایاکی #نگار مرتضوی گه خورد با جداوابادش از طرف زنان دلیر ایران بخاد در ۱۸ اکتبر سخنرانی کندما ملت از ایرانیان درخارج از کشور  خواستاریم جلوی این سخنرانی نایاکی را به هر نحوی شد گرفته شود چون بازی باخون جوانان وطن است وبه هیچ عنوان قابل درک نیست.......,0,0,1,1
1632067711453757440,"این سخن از کیست؟ و چه اختلال شخصیتیو نشون می‌ده؟

«ما به آدمهای باهوشی نیاز داریم که فرق mass psychogenic illness رو با بمب شیمیایی بدونه. البته علی شریفی زارچی هم باهوشه و آی‌کیو ریاضی خوبی داره ولی می‌بینید که [با این وجود] اینقدر خنگی و تبهکاری رو با هم تلفیق کرده!»",0,0,1,1
1547691661014159366,"ولی من دیدم، کامران تفتی اسم پسر با ""و""  نوشته بود ""وریا"" ولی موقع شمردن امتیاز، اسم ناگهان تبدیل شد به وحید
من ریدم دهنت رامبد جوان
ریدم به سر تا پات صدا سیما
ریدم دهنت آجرلو
ریدم سر تا پات ج.ا و خر عرب بگاد زن و دختر تک‌تک مهره‌هاتو
#وریا_غفوری 
#وریا_تنها_نیست 
#رامبد_جوان",0,1,1,1
1590797654346596352,"مهدی ترابی و وحید امیری!!
این دوتا مزدور حروم زاده ی کسکش قطعا باید خنثی بشن.
چون با این کاراشون هیچ فرقی با کسایی که تو خیابون سرکوب میکنن ندارن.
جفتتون تخمتون حرومه
تکمیلی: نه قرمز نه آبی
کسسسسس ننت ترابی
#مهسا_امینی",0,0,1,1
1514927677752369157,"به عرزشی ک بعد از ۴۳ سال رژیم ج.ا با فساد سیستماتیک باز میاد و به رئیس جمهور بعدی امیدوار میشه چی میگن؟ #ارزشی_کودن
#مرگ_بر_خامنه‌ای_جنایتکار_و_مزدورانش 
https://t.co/mdXMpEueAL https://t.co/EPwhnwAMvs",1,1,0,1
1474748189102292992,"اینکه بمب استفاده از بمب اتم حرام است و اگر بسازیم هم قرار نیست استفاده کنیم را موساد هم میداند.
پس با بمب اتم بدون کاربرد کدام تهدید خنثی میشود؟ الا اینکه افکار عمومی دنیا را هم از دست میدهیم؟",0,0,0,0
1645486178999865344,"توی میتینگ گفتم که اینا ادعا کردن که موقعیت و سرعت رو track میکنن ولی طبق اصل عدم قطعیت هایزنبرگ میدونیم که هر دو تواما به صورت پرفکت امکان‌پذیر نیست.
ذوق جوک نردی‌م رو داشتم ولی هیچکس نخندید فک کردن جدی گفتم:((
جوکم قدر ندید و گلب منم گرفته:(",0,0,0,0
1637926220448034818,"شبکه ۳ داره به زیبایی همه منفور هارو با هم توی یه قاب جا میده! 
داریوش ارجمند، علیرضا دبیر، خداد عزیزی… 
مجری چقدر عنه! یه خط درمیون هم از شهید ها خرج میکنه.",0,0,1,1
1600284190591025152,"🔴سرکرده سپاه تهران: آمریکاییها ۵۵ هزار میلیارد دلار برای شبکه‌های تلویزیونی علیه نظام هزینه کرده‌اند

🔻 وقتی رئیس جمهورش ۶ کلاس سواد داشته باشد، سرکرده سپاه تهران حتما بیش از سه کلاس ابتدایی ندارد و بدین جهت نمی داند ۵۵ هزار میلیارد دلار یعنی چه!؟

#قیام_تا_سرنگونی",1,1,0,1
1577315344737247232,"اگر قضیه این دختر جوان هم نبود، بهانه دیگری به‌وجود می‌آوردند تا امسال در اول #مهر، در کشور نا امنی و اغتشاش ایجاد کنند.
#شریف
#شریفی_زارچی!
@SharifiZarchi",0,1,0,1
1332432610400882691,کسی نگار مرتضوی رو دور و برا ندیده؟,0,0,0,0
1435169134694879232,طالبان مردم افغانستان را می زنند و تهدید می کند که چرا علیه پاکستان شعار می دهید. این است همان حس وطندوستی و «غیرت افغانی» شان. لعنت بر این کثیف ها https://t.co/CJo7z8JRpl,0,1,0,1
1213747428723241023,"فردا از ساعت 6 صبح تردد و توقف خودروها در طول خیابان انقلاب از میدان فردوسی تا میدان آزادی ممنوع خواهد بود. همچنین خودروهای پارک‌شده نیز نیمه‌های شب توسط پلیس به پارکینگ منتقل می‌شوند.

#سردار_سلیمانی",0,0,0,0
1529515608743845888,"ابراز احساسات تو  seraph of the end :
اگه تو بمیری من گریه میکنم",0,0,0,0
1609630772000075776,"اینترنت خیلی بدجور ریده اینجا اگه اینو میبینی الان تازه برا چند ثانیه با یه سرعت تخمی وصل شد
#کیرم_تو_بیت_رهبری
ترسوهای بز نتو انگول کنین بیشتر کونتون میزاریم خوشحالم که انقد مثه سگ ازمون ترسیدین
ما پیروزیم ✌️🕊
 #مهسا_امینی #Opiran #اعتصابات_سراسری",1,1,1,1
1514057104851668994,"مسئله این نیست که من مرد حق طلاق بدم مهریه ندم 
بلکه مسئله این است که آن زن جز واژن چیز دیگری برای ارائه دادن به من ندارد چون با بایولوژیک زنانه خودش در جنگ است 
من از اون زن زنانگی میخوام نه سکس",0,0,0,0
1585760630036103169,"مادرجنده میاد جنایتی که خودشون کردن رو توجیه میکنه و عزا اعلام میکنه ولی زاهدانیای باشرف رو که ترور میکنن لال مونی گرفته بود.
کیرم تو بیت رهبری و اون پروستات بگا رفته ت و دست کیریت.
#مهسا_امینی #اعتصابات_سراسری",0,1,1,1
1390405688212475907,"به غزّه روکن و بنگر شکوه ایمان را
به غزّه روکن و بنگرنبرد شیران را

به غزّه روکن و بنگرجنایت صهیون
که از شمار بود فتنه هایشان بیرون

به غزّه روکن و بنگرسکوت خفّت بار
از این شیوخ عرب،بردگان استکبار

به غزّه روکن و بنگرحمایت مردم
به رغم ذلّت حکّامشان ،از این مردم

#القدس_أقرب",0,0,0,0
1412773115839533060,# مردم ایران  منه کم سواد حکومت اسلامی خمینی دجال شیعه ناب 12 امام زمانی رادیدم ودیدید چه شد وطن وملتش حال حکومت کامل اسلامی با ریسی قاتل فرزندانتان میگم سوخته تر شدن ایران زیبایم وذلیل شدن مردم وثروتمند شدن زنا زاده های بی وطن جاوید شاه,0,1,1,1
1494018592282759169,"بی ارزش ها دو باشگاه رو ارزش گذاری کردن

چارتا کارشناس بی سواد و کج فهم نشستن دور هم گفتند بیاین دو باشگاه رو قیمت گذاری کنیم.
استقلال چه از لحاظ قدمت چه افتخار چه پر هواداران تر بودن و چه از نظر قهرمانی آسیا همه جوره از لنگ بالاتره.

#ارزشگذاری_ناعادلانه",0,0,1,1
1646442575249678336,"مژده دادند به ما روز دعا نزدیک است
وعده محکم و زیبای خدا نزدیک است
وقت برچیدن و نابودی اسرائیل است
محو این غده ی بی شرم و حیا نزدیک است

#قدس_بیزیمدی
#freepalestin",0,1,0,1
1519000492101275650,"من طرفدار صدام حسین و حزب بعث نیستم. اما عملیات پیش دستانه ارتش بعث عراق فرصت طلایی بود که مردم عرب الأحواز استقلال شان را بدست بیاورند.
اما مذهب شیعه سرنوشت ملت عرب جور دیگری رقم زد، متاسفانه تفکرات متعفن شیعی باعث شد تا بخش قابل توجهی از عشایر در برابر ارتش عراق جنگ کنند. 1",0,1,0,1
